"Comando                    | Descripción

curl localhost              | Realiza un ping a la aplicación.
docker build                | Construye una imagen a partir de un Dockerfile.
docker build . -t           | Construye la imagen y etiqueta el ID de la imagen.
docker CLI                  | Inicia la interfaz de línea de comandos de Docker.
docker container rm         | Elimina un contenedor.
docker images               | Lista las imágenes.
docker ps                   | Lista los contenedores en ejecución.
docker ps -a                | Lista los contenedores que se ejecutaron y salieron exitosamente.
docker pull                 | Descarga la última imagen o repositorio desde un registro.
docker push                 | Sube una imagen o un repositorio a un registro.
docker run                  | Ejecuta un comando en un nuevo contenedor.
docker run -p               | Ejecuta el contenedor publicando los puertos.
docker stop                 | Detiene uno o más contenedores en ejecución.
docker stop $(docker ps -q) | Detiene todos los contenedores en ejecución.
docker tag                  | Crea una etiqueta para una imagen de destino que hace referencia a una imagen de origen.
docker --version            | Muestra la versión de la interfaz de línea de comandos de Docker.
exit                        | Cierra la sesión de la terminal.
export MY_NAMESPACE         | Exporta un espacio de nombres como una variable de entorno.
git clone                   | Clona el repositorio de git que contiene los artefactos necesarios.
ibmcloud cr images          | Lista las imágenes en el Registro de Contenedores de IBM Cloud.
ibmcloud cr login           | Inicia sesión de tu demonio Docker local en el Registro de Contenedores de IBM Cloud.
ibmcloud cr namespaces      | Muestra los espacios de nombres a los que tienes acceso.
ibmcloud cr region-set      | Asegura que estás apuntando a la región apropiada para tu cuenta en la nube.
ibmcloud target             | Proporciona información sobre la cuenta que estás apuntando.
ibmcloud version            | Muestra la versión de la interfaz de línea de comandos de IBM Cloud.
ls                          | Lista el contenido de este directorio para ver los artefactos."
